Term,CRN,Subject,Course Number,Sequence,Title,Credit Hours,Schedule Code,Status,Maximum Enrollment,Actual Enrollment,Seats Available,CrossList Group,CrossList Courses,CrossList Max Enrollment,CrossList Actual Enrollment,Crosslist Seats Available,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor Username,Instructor2 Last Name,Instructor2 First Name,Instructor2 Username,Instructor3 Last Name,Instructor3 First Name,Instructor3 Username,Begin Time1,End Time1,Building Code1,Room1,Monday1,Tuesday1,Wednesday1,Thursday1,Friday1,Saturday1,Sunday1,Begin Time2,End Time2,Building Code2,Room2,Monday2,Tuesday2,Wednesday2,Thursday2,Friday2,Saturday2,Sunday2,Begin Time3,End Time3,Building Code3,Room3,Monday3,Tuesday3,Wednesday3,Thursday3,Friday3,Saturday3,Sunday3,CIP Code,CIP Description,All Perspectives,Practical Reasoning,Arts Perspective,Social Science Perspective,Western History Perspective,Religion Perspective,Afr Amer Appl Wmn Perspective,International Perspective,Course Fee,Prerequisites
201713,30174,ANR,495,F,Biological Woodsmanship,1,F,A,1,1,0,,,,,,Baptiste,Quinn,baptisteq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,"Agriculture, General",(Active Learning Experience),,,,,,,,,
201713,30175,ANR,495,G,Cooperative Extension,1,F,A,1,1,0,,,,,,Parr,Mary,parrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,"Agriculture, General",(Active Learning Experience),,,,,,,,,
201713,30176,ANR,495,H,Rooftop Farm Mgmt Internship,1,F,A,1,1,0,,,,,,Parr,Mary,parrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,"Agriculture, General",(Active Learning Experience),,,,,,,,,
201713,30177,ANR,495,I,Transforming Food Systems,1,F,A,1,1,0,,,,,,Clark,Michael,clarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,"Agriculture, General",(Active Learning Experience),,,,,,,,,
201713,30178,ARH,495,A,Archaeology Internship,1,F,A,2,2,0,,,,,,Anderson,C. Broughton,andersonch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500701,"Art, General",(Active Learning Experience),,,,,,,,,
201713,30179,BIO,495,A,ICU Shadowing & Research,1,F,A,1,1,0,,,,,,Rosen,Ronald,rosenr,Blank,Sarah,blanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260699,"Misc Biology Spec, Other",(Active Learning Experience),,,,,,,,,
201713,30180,BUS,495,C,"Marketing Specialist, ProCamps",1,F,A,1,1,0,,,,,,Sowers,Nancy,sowersn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520101,"Business, General",(Active Learning Experience),,,,,,,,,
201713,30181,CHM,495,B,Enzymology Internship,1,F,A,1,1,0,,,,,,Saderholm,Matthew,saderholmm,Baltisberger,Jay,baltisbergerj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400501,"Chemistry, General",(Active Learning Experience),,,,,,,,,
201713,30182,CSC,495,B,Software Devlpmnt Internship,1,F,A,1,1,0,,,,,,Nakazawa,Mario,nakazawam,Heggen,Scott,heggens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30183,CSC,495,C,Pervasive Computing,1,F,A,1,1,0,,,,,,Nakazawa,Mario,nakazawam,Pearce,Janice,pearcej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30184,EDS,495,D,Grow Appalachia Internship,1,F,A,1,1,0,,,,,,Webb,Althea,webba,Carter,Yolanda,cartery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999,"Education, Other",(Active Learning Experience),,,,,,,,,
201713,30185,EDS,495,E,Harvard Med. School Internship,1,F,A,1,1,0,,,,,,Webb,Althea,webba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999,"Education, Other",(Active Learning Experience),,,,,,,,,
201713,30186,EDS,495,F,Public Library Internship,1,F,A,1,1,0,,,,,,Webb,Althea,webba,Carter,Yolanda,cartery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999,"Education, Other",(Active Learning Experience),,,,,,,,,
201713,30187,EDS,495,G,TESOL Internship,1,F,A,1,1,0,,,,,,Wang,Jianfen,wangj,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999,"Education, Other",(Active Learning Experience),,,,,,,,,
201713,30188,HLT,495,B,Health & Mgmt in Asst Living,1,F,A,1,1,0,,,,,,Phelps,Shannon,phelpss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340199,Health-Related Knowledge/Skill,(Active Learning Experience),,,,,,,,,
201713,30189,MAT,495,A,Internship,1,F,A,1,1,0,,,,,,Barnard,Kristen,barnardk,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270101,"Mathematics, General",(Active Learning Experience),,,,,,,,,
201713,30190,PHY,495,A,Physics Senior Seminar,1,F,A,1,0,1,,,,,,Messina,Troy,messinat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400899,"Physics, Other",(Active Learning Experience),,,,,,,,,
201713,30191,PSC,495,A,Law Firm Internship,1,F,A,1,1,0,,,,,,Berheide,Michael,berheidem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451001,"Political Science/Govern, Gen",(Active Learning Experience),,,,,,,,,
201713,30192,REL,495,A,EncouragementLink Internship,1,F,A,1,1,0,,,,,,Smith,Duane,smithd,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380201,Religion/Religious Studies,(Active Learning Experience),,,,,,,,,
201713,30193,SENS,495,A,Culinary Internship,1,F,A,1,1,0,,,,,,Gift,Nancy,giftn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,Natural Resources Conservation,(Active Learning Experience),,,,,,,,,
201713,30194,SENS,495,B,GIS and Urban Planning,1,F,A,1,1,0,,,,,,Gift,Nancy,giftn,McKee,Lauren,mckeel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,Natural Resources Conservation,(Active Learning Experience),,,,,,,,,
